Time	LB__Strain1	LB__Strain2	LB__Strain3	LB__Strain4	LB__Strain5	LB__Strain6	M9-glucose__Strain1	M9-glucose__Strain2	M9-glucose__Strain3	M9-glucose__Strain4	M9-glucose__Strain5	M9-glucose__Strain6	M9-rhamnose__Strain1	M9-rhamnose__Strain2	M9-rhamnose__Strain3	M9-rhamnose__Strain4	M9-rhamnose__Strain5	M9-rhamnose__Strain6
0.018611111111111113	0.011749999999999983	0.012999999999999984	0.009749999999999995	0.010999999999999982	0.010999999999999996	0.009499999999999995	0.018000000000000002	0.018250000000000002	0.019500000000000003	0.016500000000000015	0.016250000000000014	0.018250000000000002	0.021500000000000005	0.0165	0.017	0.0175	0.018000000000000002	0.019250000000000003
0.335	0.014749999999999985	0.016249999999999987	0.013499999999999998	0.013999999999999985	0.013249999999999998	0.012249999999999997	0.019000000000000003	0.019500000000000003	0.020500000000000004	0.017750000000000002	0.018000000000000002	0.019250000000000003	0.020500000000000004	0.01625	0.01725	0.01725	0.018000000000000002	0.019000000000000003
0.6683333333333333	0.02624999999999998	0.026499999999999996	0.023249999999999993	0.022749999999999992	0.01849999999999999	0.02049999999999999	0.024000000000000007	0.024750000000000008	0.02525000000000001	0.022000000000000006	0.021750000000000005	0.023750000000000007	0.021000000000000005	0.018000000000000002	0.018750000000000003	0.018750000000000003	0.019500000000000003	0.020250000000000004
1.0016666666666667	0.05249999999999999	0.04849999999999999	0.046999999999999986	0.04324999999999998	0.032	0.03899999999999999	0.02725000000000001	0.02850000000000001	0.029000000000000012	0.02575000000000001	0.02650000000000001	0.027749999999999997	0.021750000000000005	0.019750000000000004	0.019500000000000003	0.020750000000000005	0.020250000000000004	0.022000000000000006
1.335	0.095	0.07824999999999999	0.08725	0.07999999999999999	0.05875	0.07225000000000001	0.03375	0.03425	0.0345	0.031000000000000014	0.030250000000000013	0.033250000000000016	0.023750000000000007	0.02174999999999999	0.021750000000000005	0.022999999999999993	0.022750000000000006	0.023999999999999994
1.6683333333333334	0.14024999999999999	0.10825000000000001	0.132	0.1235	0.09975	0.11699999999999997	0.045	0.04200000000000001	0.044	0.04050000000000001	0.037250000000000005	0.04250000000000001	0.024750000000000008	0.023000000000000007	0.023500000000000007	0.024750000000000008	0.024500000000000008	0.02600000000000001
2.0016666666666665	0.192	0.14799999999999996	0.18475000000000003	0.17225	0.14475	0.16575	0.05924999999999999	0.05125	0.05799999999999999	0.053749999999999985	0.048499999999999995	0.05575	0.02575000000000001	0.023750000000000007	0.02525000000000001	0.02625000000000001	0.025999999999999995	0.027249999999999996
2.335	0.26025	0.20175000000000004	0.24924999999999997	0.23249999999999998	0.20049999999999996	0.22575	0.07150000000000001	0.052000000000000005	0.06875	0.065	0.0615	0.06775	0.02775000000000001	0.024500000000000008	0.02775000000000001	0.028249999999999997	0.02825000000000001	0.02875000000000001
2.6683333333333334	0.3145	0.25749999999999995	0.3064999999999999	0.28674999999999995	0.2577499999999999	0.28125	0.08950000000000002	0.06175	0.08350000000000002	0.08075000000000002	0.07250000000000001	0.08375000000000002	0.029249999999999998	0.024499999999999994	0.03075	0.0305	0.0305	0.031
3.0016666666666665	0.35624999999999996	0.3025	0.355	0.33624999999999994	0.31275	0.33425000000000005	0.10625000000000001	0.07400000000000001	0.1005	0.09775	0.08600000000000002	0.1005	0.03225	0.025749999999999995	0.035250000000000004	0.03325	0.03425	0.0335
3.335	0.39325	0.35075	0.393	0.37625	0.356	0.377	0.12525	0.08550000000000002	0.11850000000000002	0.11675000000000002	0.10225000000000001	0.11875	0.03575000000000002	0.025999999999999995	0.04125000000000001	0.03724999999999999	0.03925000000000001	0.037750000000000006
3.6683333333333334	0.42025	0.38725	0.41625	0.403	0.391	0.40274999999999994	0.14825	0.098	0.13974999999999999	0.13650000000000004	0.11875	0.13725	0.04025000000000001	0.02650000000000001	0.04825	0.042499999999999996	0.04475000000000001	0.04225000000000001
4.001666666666667	0.45100000000000007	0.41725	0.44075	0.42524999999999996	0.415	0.4245	0.17250000000000001	0.11574999999999999	0.16274999999999998	0.158	0.13775	0.1585	0.04600000000000001	0.02750000000000001	0.055499999999999994	0.049	0.052500000000000005	0.049250000000000016
4.335	0.47750000000000004	0.44275	0.4694999999999999	0.4495	0.43775	0.44775	0.19675	0.13725	0.18575	0.18075	0.157	0.17925	0.05299999999999999	0.02775000000000001	0.06175	0.056249999999999994	0.059	0.055499999999999994
4.668333333333333	0.5045	0.46725	0.4957500000000001	0.4735	0.46275000000000005	0.47075000000000006	0.22175000000000003	0.16349999999999998	0.20875000000000002	0.205	0.17875	0.20050000000000004	0.0595	0.028249999999999997	0.0695	0.06325	0.065	0.06275
5.001666666666667	0.5265	0.4877499999999999	0.51825	0.49224999999999997	0.485	0.49024999999999996	0.24649999999999997	0.1835	0.23	0.22724999999999998	0.19899999999999998	0.22050000000000006	0.06675	0.029249999999999998	0.07650000000000001	0.07050000000000001	0.07200000000000001	0.07
5.335	0.55675	0.503	0.542	0.5107499999999999	0.50475	0.50975	0.269	0.19675	0.251	0.24999999999999997	0.221	0.23975	0.07600000000000001	0.03075	0.08450000000000002	0.07875000000000001	0.08024999999999999	0.07900000000000001
5.668333333333333	0.5854999999999999	0.51425	0.5675	0.5302499999999999	0.5229999999999999	0.5279999999999999	0.28874999999999995	0.20624999999999996	0.26849999999999996	0.269	0.23900000000000002	0.25475000000000003	0.08350000000000002	0.031250000000000014	0.0925	0.08750000000000002	0.08775	0.0875
6.001666666666667	0.6094999999999999	0.5265	0.59075	0.5485	0.5389999999999999	0.54925	0.30700000000000005	0.21225000000000002	0.28425	0.28600000000000003	0.25375000000000003	0.267	0.09100000000000003	0.032000000000000015	0.09875	0.095	0.09425	0.0945
6.335	0.6415000000000001	0.545	0.61925	0.5705	0.55875	0.5730000000000001	0.32475	0.22075	0.30250000000000005	0.30350000000000005	0.272	0.28375	0.1	0.03325	0.10699999999999998	0.10425000000000001	0.10175000000000001	0.10400000000000001
6.668333333333333	0.66675	0.5514999999999999	0.6432499999999999	0.5919999999999999	0.5755000000000001	0.595	0.32825000000000004	0.22274999999999998	0.3085	0.3145	0.2825	0.29474999999999996	0.10700000000000001	0.03375	0.11325000000000002	0.11149999999999996	0.10875000000000001	0.11100000000000002
7.001666666666667	0.6952499999999999	0.5690000000000001	0.6692500000000001	0.61675	0.59175	0.6200000000000001	0.33224999999999993	0.22674999999999998	0.3135	0.32125000000000004	0.2935	0.30325	0.11625000000000002	0.035250000000000004	0.12174999999999997	0.12025000000000002	0.11650000000000002	0.12025000000000002
7.335	0.71475	0.5780000000000001	0.69025	0.637	0.607	0.641	0.33525000000000005	0.225	0.3195	0.32399999999999995	0.29900000000000004	0.3075	0.12375000000000003	0.036250000000000004	0.12925000000000003	0.12774999999999997	0.12374999999999997	0.128
7.668333333333333	0.7349999999999999	0.5874999999999999	0.7112499999999999	0.6584999999999999	0.6227499999999999	0.66275	0.33975	0.22474999999999998	0.32599999999999996	0.32875	0.3067500000000001	0.3145	0.13300000000000003	0.037500000000000006	0.13649999999999998	0.1365	0.13149999999999998	0.13725
